,,,content,man_written
Ada Derana,4/1/2021 8:45,Received,Mannarama hitapu randaguru Rayappu Joseph piyathuma (80) Yapanaye paudgalika rohalaka prathikara labamin sitiya dee swargastha wei,මන්නාරම් හිටපු රදගුරු රායප්පු ජෝෂප් ජෝශප් පියතුමා යාපනයේ පුද්ගලික රෝහලක ප්‍රතිකාර ලබමින් සිටියදී ස්වර්ග්ස්ත වෙයි
Ada Derana,4/1/2021 8:44,Received,Samaaja maadya osse Saharan Hashim ge mathawada ha anthawada pracharanaye niratha wu siwu denek TID athadanguwata,සමාජ මාධ්‍ය ඔස්සේ සහරාන් හසීම් ගිය මත වාද හා අන්තවාද ප්‍රචාරණයේ නිරත වූ සිව් දෙනෙක් TID අත්අඩංගුවට
News 1st,4/1/2021 8:33,Received,Mannarama hitapu radaguru athiuthum Rayappu  Joseph himipanan (81)  swargastha wei.,මන්නාරම් හිටපු රදගුරු අති උතුම් අතිඋතුම් රා උතුම් රායප්පු ජෝශප් පියතුමන් (81)ස්වර්ගස්ථ  වෙයි
Hiru News,4/1/2021 8:12,Received,Mannarama hitapu radaguru Rayappu Joseph piyathuman(80) swargastha wei: Mannar Bishop's House,මන්නාරම් හිටපු රදගුරු රායප්පු ජෝෂප් ජෝශප් පියතුමා ජෝෂප් පියතුමන් ස්වර්ගස්ථ වෙයි :Mannar Bishop House
News 1st,4/1/2021 7:21,Received,Zaharange anthawadi mathawada antharjalaya osse vikashaya kireema ha anthawadi deshana sadaha sahaya wime chodana matha 04k TID athadanguwata.,සහරාන්ගේ අන්තවාදී මත වාද අන්තර්ජාලය ඔස්සේ විකාශය කිරීම හා අන්තවාදී දේශන සඳහා සහාය වීමේ චෝදනා මත 04ක් TID අත්අඩංගුවට
Hiru News,4/1/2021 7:00,Received,Zaharan Hashim-ge anthawadi mathawada antharjalaya osse pracharaya kala 02-denek athulu 04-denek TID athadanguwata.: Police Spokesman,සහරාන් හසීම්ගේ අන්තවාදී මත වාද අන්තර්ජාලය ඔස්සේ ප්‍රකාශය කළ 02-දෙනෙක් ඇතුළු ඇතුළු 04-දෙනෙක් TID අත්අඩංගුවට : police spokesmen
Ada Derana,3/31/2021 21:53,Received,Covid-19 asaditha marana 02 k wartha weemath samaga merata samastha marana 568 dakwa ihalata - Saukya amathyanshaya,covid 19 ආසාදිත මරණ 02ක් වාර්තා වීමත් සමග මෙරට සමස්ත මරණ 568 දක්වා ඉහළට සෞඛ්‍ය අමාත්‍යාංශය
Hiru News,3/31/2021 21:53,Received,Thawath COVID-19 marana 02k wartha-wei; merata samastha marana 568 dakwa ihalata.: EPID,තවත් covid 19 මරණ 02ක් වාර්තා-වෙයි; මෙරට සමස්ත මරණ 568 දක්වා ඉහළට : EPID
Ada Derana,3/31/2021 20:24,Received,UPDATE: Thawath Covid-19 asadithayin 88 deneku haduna ganne.Ada meratin wartha wu asadithayin ganana 244 dakwa ihalata - Yuda hamudapathi,update:තවත් covid 19 ආසාදිතයින් 88 දෙනෙකු හඳුනා ගැනේ අද මෙරටින් වාර්තා වූ ආසාධිතයිදිතයින් ගණන 244 දක්වා ඉහලට - යුද හමුදා පති
Hiru News,3/31/2021 20:22,Received,Update - Thawath COVID-19 asadithayin 88k wartha wei.: Army Commander,Update - තවත් COVID-19 ආසාදිතයින් 88ක් වාර්තා වෙයි.: - Army Commander
Ada Derana,3/31/2021 17:42,Received,Ada meratin thawath Covid-19 asadithayin 156 deneku haduna ganne - Yuda hamudapathi,අද මෙරටින් තවත් covid 19 ආසාදිතයින් 156 දෙනෙකු හඳුනා ගැනේ - යුද හමුදා පති
Hiru News,3/31/2021 17:35,Received,Thawath COVID-19 asadithayin 156k wartha wei.: Army Commander, තවත් Covid-19 ආසාදිතයින් 156 ක් වාර්තා වෙයි - Army Commander
Hiru News,3/31/2021 16:17,Received,"Thawath COVID-19 asadithayin 161k suwaya laba pitawa yai; suwaya labu mulu sankyawa 89,251.: EPID","තවත් covid-19 ආසාදිතයින් 161 ක් සුවය ලබා පිටව යයි; සුවය ලැබූ මුළු සංඛ්‍යාව 89,251.: EPID"
Ada Derana,3/31/2021 16:12,Received,"Thawath Covid-19 asadithayin 161 deneku suwaya labai.Merata suwaya labaa rohalwalin pitawa giya samastha ganana 89,251 dakwa ihalata - Saukya amathyanshaya","තවත් covid-19 ආසාදිතයින් ආසාදිතයින් 161 දෙනෙකු සුවය ලබයි.මෙරට සුවය ලබන රෝහල් වලින් රෝහල්වලින් පිටව ගිය සමස්ත ගණන 89,251 දක්වා ඉහලට -සෞඛ්‍ය අමාත්‍යංශය"
Hiru News,3/31/2021 14:39,Received,"Sanwidanathmaka aparadakaruweku wana ""Podi Lassi""-ge sahayakayeku(38), Gini awiyak samaga Ahangamadi STF athadanguwata.: Police Spokesman","සංවිධානාත්මක අපරාධ කරුවෙකු වන ""පොඩි ලැසී""-ගේ සහායකයෙකු (38), ගිනි අවියක් සමග අහංගම දී STF අත්අඩංගුවට.: police spokesman"
Hiru News,3/31/2021 14:39,Received,"Sanwidanathmaka aparadakaruweku wana ""Podi Lassi""-ge sahayakayeku(38), Gini awiyak samaga Ahangamadi STF athadanguwata.: Police Spokesman","සංවිධානාත්මක අපරාධ කරුවෙකු වන ""පොඩි ලැසී""-ගේ සහායකයෙකු (38), ගිනි අවියක් සමග අහංගම දී STF අත්අඩංගුවට.: police spokesman"
Ada Derana,3/31/2021 13:10,Received,(2/2)Ennath thogaya Cheena thanapathi wisin nila washayen janadhipathi Gotabaya Rajapaksa wetha baara dei,එන්නත් තොගය චීන තානාතිපති විසින් නිල වශයෙන් ජනාධිපති ගෝඨාභය රාජපක්ෂ වෙත භාර දෙයි
Ada Derana,3/31/2021 13:08,Received,"Cheenaye nishpaditha Sinopharm Covid-19 ennath 600,000 k Katunayaka guwan thotupala wetha(1/2)",චීනය නිෂ්පාදිත sinopharm covid 19 එන්නත් 600000 ක් කටුනායක ගුවන්තොටුපල වෙත
Hiru News,3/31/2021 12:45,Received,2016.03.31 sidu-wu maha-banku bendumkara nikuthuwata adalawa hitapu mudal emathi Ravi Karunanayake athulu 06-dena heta(4/1) dakwa yali remand.: Reporter,2016.03.31සිදුවූ මහබැංකු මහ බැංකු බැදුම්කර බැඳුම්කර නිකුතුවට අදාළ අදාළව හිටපු මුදල් ඇමති රවි කරුණානායක ඇතුළු 06 හෙට දක්වා යළි remand: reporter
Hiru News,3/31/2021 12:31,Received,"Chinaye nishpaditha Sinopharm ennath mathra laksha 6k, China thanapathi wisin Katunayakadi (BIA) Janadhipathi Gotabaya Rajapaksa wetha baara-dei: PMD","චීනයේ නිෂ්පාදිත sinopharm එන්නත් මාත්‍රා ලක්ෂ 6ක්, චීන තානාපති විසින් කටුනායක දී (BIA) ජනාධිපති ගෝඨාභය රාජපක්ෂ වෙත භාර-දෙයි:PMD"
News 1st,3/31/2021 12:06,Received,Chinaye nishpaditha Sinopharm corona mardana ennath mathra laksha 6k diwainata.- warthakaru,චීනයේ නිෂ්පාදිත sinopharm කොරෝනා මර්ධන එන්නත් මාත්‍රා ලක්ෂ 6ක් දිවයිනට.-වාර්තාකරු
Ada Derana,3/31/2021 12:03,Received,Heroin 65g ha 485g laga thaba gath sekakaruwan siwu denekuta epa labaa deemata(1/2),හෙරොයින් 65g හා 485g ළඟ තබාගත් තබා ගත් සැකකරුවන් සිව් දෙනකුට ඇප ලබාදීමට
Ada Derana,3/31/2021 12:03,Received,(2/2)Colamba mahadhikaranaya laba dun niyogayak athhituwana lesa neethipathi abhiyachanadhikaranayen illai,කොළඹ මහාධිකරණය ලබාදුන් නියෝගයක් අත්හිටුවන ලෙස නීතිපති අභියාචනාධිකරණයෙන් ඉල්ලයි
Ada Derana,3/31/2021 10:01,Received,"(2/2)Kerala, Vizhinjam hidee Indeeya weralarakshaka niladharin baarayata - Indeeya maadya","kerala,vizhinjam හිදි  ඉන්දීය වෙරළාරක්ෂක නිලධාරීන් භාරයට - ඉන්දීය මාධ්‍ය"
Ada Derana,3/31/2021 10:00,Received,"Heroin 300kg, AK-47 rifles 5 k ha pathorom 1,000 k samaga Sri Lanka deewara yathrawak ha ehi siti pudgalayin 6 deneku(1/2)","හෙරොයින් 300kg,AK-47 rifles 5ක් හා පතරොම් 1,000ක් සමඟ ශ්‍රී ලංකා ශ්‍රී ලංකා ධීවර යාත්‍රාවක හා ඇති සිටි පුද්ගලයින් 6 දෙනෙකු"
Hiru News,3/31/2021 9:17,Received,"""Hiru sathpaththini seth shanthiya"" wenuwen aluth sahal ekres kireema Anuradhapura Ruwanweli Maha Seradun, Kataragama Kiri Wehera saha (1/2)","""හිරු සත්පතිනි සෙත් ශාන්තිය"" වෙනුවෙන් අලුත් අලූත් සහල් එක්රැස් කිරීම  අනුරාධපුර රුවන්වැලි මහා මහ සෑ රදුන්, කතරගම කිරිවෙහෙර සහ"
Hiru News,3/31/2021 9:17,Received,(2/2) Mahiyanganaya Raja Maha Wiharasthanaya abhiyasin erambe; sajivee thorathuru sadaha HIRU TV balanna,මහියංගනය රජ මහා විහාරස්ථානය අබියසින් ඇරඹේ; සජීවී තොරතුරු සඳහා HIRU TV බලන්න
Ada Derana,3/31/2021 8:09,Received,"SL - Kodew 2 wana test tharagaye 2 wana dinaya: Sri Lankawa 136/3* (Chandimal 34*, Dhananjaya 23*, Thirimanne 55)","SL-කොදෙව් 2 වන ටෙස්ට් තරගයේ 2 වන දිනය: ශ්‍රී ලංකාව 136/3* (චන්දිමාල්34*, ධනංජය 23*, තිරිමාන්න 55)"
Ada Derana,3/31/2021 8:03,Received,Yathurupedi anathuru awama kireeme aramunin ada sita dina 4 k divayina pura wedasatahanak kriyathmaka kere - Police maadya prakashaka,යතුරුපැදි අනතුරු අවම කිරීමේ අරමුණින් අද සිට දින 4ක් දිවයින පුරා වැඩසටහන ක්‍රියාත්මක කෙරේ - පොලිස් මාධ්‍ය ප්‍රකාශක
Hiru News,3/31/2021 7:10,Received,"Yathuru-pedi anathuru welek-weeme aramunin, ada sita diwaina pura dina 04-ka wishesha meheyumak.: Police Spokesman","යතුරු-පැදි අනතුරු වැළැ-ක්වීමේ අරමුණින්,අද සිට දිවයින පුරා දින 04- කවිශේෂ මෙහෙයවීමක් - police spokesman"
Ada Derana,3/30/2021 21:39,Received,"SL - Kodew 2 wana test tharagaya: Batahira Indeeya Kodewwan palamu inimata siyallan dawee 354 (K Brathwaite 126, R Cornwall 73, Suranga Lakmal 94/4)","SL කොදෙව් 2 වන  test  තරගය: ටෙස්ට් තරගය බටහිර ඉන්දීය කොදෙව්වන් පළමු ඉනිමට සියල්ලන් දැවී 354(K Brathwaite 126,R cornwall 73,සුරංග  ලක්මාල් 94/4)"
Hiru News,3/30/2021 21:34,Received,"2nd Test, West Indies Vs Sri Lanka ' Antigua l West Indies palamu inima 354/10 (Brathwaite 126, Cornwall 73, Lakmal 94/4, Chameera 69/3)","2nd test, west indies vs ශ්‍රී ලංකා 'ඇන්ටිගුවා l west indies පළමු ඉනිම 354/10 ( brathwaite 126,cornwall 73, ලක්මාල් 94/4,චමීර 69/3)"
Hiru News,3/30/2021 21:11,Received,Update - Thawath COVID-19 asadithayin 23k wartha wei.: Army Commander,update  - තවත් covid 19 ආසාදිතයින් 23ක් වාර්තා වෙයි Army Commander
News 1st,3/30/2021 18:58,Received,Thawath corona asadithain 102k handuna gene.- Rajaye prauththi departhamenthuwa,තවත්  කොරෝනා ආසාදිතයින්  102ක් හඳුනාගැනේ.- රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව
Hiru News,3/30/2021 17:27,Received,Thawath COVID-19 asadithayin 102k wartha wei.: Army Commander, තවත් covid 19 ආසාදිතයින් 23ක් වාර්තා වෙයි.:Army Commander
Hiru News,3/30/2021 16:53,Received,2016 bendumkara siddiyata adalawa hitapu Amathya Ravi Karunanayake athulu 08-dena 04/01 dakwa yali remand.: Reporter,2016 බැඳුම්කර සිද්ධියට අදාළව හිටපු අමාත්‍ය රවී කරුණානායක ඇතුළු 8-දෙනා 04/1 දක්වා යළි remand.: reporter
Hiru News,3/30/2021 16:53,Received,"Thawath COVID-19 asadithayin 176k suwaya laba pitawa yai; suwaya labu mulu sankyawa 89,090.: EPID",තවත් covid 19 ආසාදිතයින් 176ක් සුවය ලබා පිටව යයි සුවය ලැබූ මුළු සංඛ්‍යාව 89090:EPID
Ada Derana,3/30/2021 16:47,Received,(2/2)April 01 prakashayata path karana bawata Colamba mahadhikaranaya niyoga karai,April 01 April 01 ප්‍රකාශයට පත්කරන බවට කොළඹ මහාධිකරණය නියෝග කරයි
Ada Derana,3/30/2021 16:43,Received,Hitapu amathya Ravi Karunanayake ethulu 8 dena epa matha mudaharinneda nedda yanna pilibanda niyogaya(1/2),හිටපු අමාත්‍ය රවී කරුණානායක ඇතුළු 08 දෙනා ඇප මත මුදා හරින්නෙ නැද්ද යන්න පිළිබඳ නියෝගය
Ada Derana,3/30/2021 15:59,Received,"Covid-19 asadithayin 176 deneku suwaya labai.Merata suwaya labaa rohalwalin pitawa giya samastha ganana 89,090 dakwa ihalata - Saukya amathyanshaya",Covid-19 ආසාදිතයින් 176 දෙනෙකු සුවය ලබයි. මෙරට සුවය ලබා රෝහල් වලින් පිටව ගිය සමස්ත ගණන 89090 දක්වා  ඉහලට-සෞඛ්‍ය අමාත්‍යාංශය
Ada Derana,3/30/2021 15:36,Received,"Pudgalayin 9,102 denekuta eye dinaye Oxford Astra-Zeneca ennath labaa deemath samaga me dakwa 903,467 denekuta ennathkaranaya sidu karai","පුද්ගලයින්  9,102 දෙනෙකු ඊයේ දිනයේ oxford  astra zeneca එන්නත ලබා දීමත් සමග මේ දක්වා 903,467 දෙනෙකුට එන්නත් කරන සිදු කරයි"
Ada Derana,3/30/2021 15:16,Received,"Swarnamahal Jewellers hitapu adyakshawarun wana Jeewaka, Asanka, Nalaka ha Deepa Edirisinghe, April 01 dakwa yali remand","සරණ මහල් ජුවලර්ස් හිටපු අධ්‍යක්ෂකවරුන් වන ජීවක,අසංක,නාලක හා දීපා එදිරිසිංහ අප්‍රේල් 1 දක්වා යළි remand"
Hiru News,3/30/2021 14:19,Received,"Nawalapitiya dumriya sthanaya asannayedi dumriyak peelipeneema nisa, Udarata maargaye gamanagamanayata badha: Reporter","නාවලපිටිය දුම්රිය ස්ථානය ආසන්නයේදී දුම්රියක් පීලි පැනීම නිසා, උඩරට මාර්ගයේ ගමනාගමනයට ගමනාගමනයට බාධා: reporter"
Hiru News,3/30/2021 14:13,Received,"Ada(30) madya rathriye sita heta(31) madyama rathriya dakwa kriyathmaka wana paridi, siyaluma thepel sewakainge niwadu awalangu kere","අද (30)මධ්‍යම රාත්‍රී සිට හෙට(31) මධ්‍යම රාත්‍රිය දක්වා ක්‍රියාත්මක වන පරිදි, සියලුම තැපැල්  සේවකයින්ගේ නිවාඩු අවලංගු කෙරේ"
Ada Derana,3/30/2021 14:08,Received,"Pannipitiyedi lorry ratha riyadurekta pahara dun police kosthapal April 5 thek remand.Lorry ratha riyaduruge,riyaduru balapathraya thawakalikawa athhituwai","පන්නිපිටියේ දී ලොරි රථ රියදුරෙකුට පහරදුන් පොලිස් කොස්තාපල් අප්‍රේල් 5 තෙක් remand ලොරි රථ රියදුරු ගේ,රියදුරු බලපත්‍රය තාවකාලිකව අත්හිටුවයි"
News 1st,3/30/2021 12:04,Received,Allas comisama pewaru naduwen hitapu agawinisuruwarayeku wu Mohan Peris ethulu sekakaruwan..(1/2),අල්ලස් කොමිසම පැවරූ නඩුවෙන් හිටපු අගවිනිසුරුවරයෙකු වූ මොහාන් පීරිස් ඇතුළු සැකකරුවන්..
