,,,content,man_written
Ada Derana,3/17/2021 7:08,Received,"Athadanguwata gath Swarnamahal Jewellers hi hitapu adyakshawarun wana Jeewaka Edirisinghe, Anjalee Edirisinghe Asanka Edirisinghe ha(1/2)",අත්අඩංගුවට ගත් සරණ මහා ජුවලර්ස් යි හිටපු අධ්‍යක්ෂකවරුන් වන ජීවක එදිරිසිංහ අන්ජලී එදිරිසිංහ අසංක එදිරිසිංහ හා (1/2)
News 1st,3/15/2021 10:31,Received,..Kohuwala bhathiya mawathe padinchi 33 hewiridi wyaparikayage bawa DNA parikshanayen thahawuru wei.-police (2/2),කොහුවල භාතිය මාවතේ පදිංචි 33 හැවිරිදි ව්‍යාපාරිකයෝ ගේ බව DNA පරීක්ෂණයෙන් තහවුරු වෙයි පොලිස්
Hiru News,3/17/2021 10:22,Received,2016 Marthu 29 ha 31 bendumkara wendesi waladi sidu-wu wancha gena Neethipathi wisin Colamba thri-pudgala mahadikaranaya hamuwe adhi-chodana gonu karai,2016 මාර්තු 29 හා 31 31 බැඳුම්කර වෙන්දේසි වල දී සිදු වූ   වංචා ගැන නීතිපති විසින් කොළඹ ත්‍රිපුද්ගල මහාධිකරණය හමුවේ  අධිචෝදනා ගොනු කරයි
News 1st,3/18/2021 12:29,Received,"Prawahana emathi samaga sakachchawen pasu dumriya engine riyaduran, niyamakain ethulu sewaka pirisage saketha weda warjanaya awasan kere-dumriya samanyadikari",ප්‍රවාහන ඇමති සමග  සාකච්ඡාවෙන් පසු දුම්රිය එන්ජින් රියදුරන් නියාමකයින් ඇතුළු සේවක පිරිසගේ සංකේත වැඩ වර්ජනය අවසන් කෙරේ දුම්රිය අමාත්‍යාංශය
News 1st,3/16/2021 19:27,Received,Thawath corona asadithain 154k handuna gene.-Rajaye prauththi departhamenthuwa,තවත් කොරෝනා ආසාදිතයින් 154ක් හඳුනාගැනේ රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව
Hiru News,3/18/2021 12:18,Received,"Prawaahana amathyawaraya samaga pewathi sakachchawen anathuruwa, weda warjanaya athhituveemata dumriya wruththiya samithi theeranaya karai",ප්‍රවාහන අමාත්‍යාංශය සමඟ සමඟ පැවැති සාකච්ඡාවෙන් අනතුරුව වැඩ වැඩවර්ජනය අත්හිටුවීමට දුම්රිය වෘත්තිය සමිති තීරණය කරයි
News 1st,3/15/2021 10:31,Received,..Kohuwala bhathiya mawathe padinchi 33 hewiridi wyaparikayage bawa DNA parikshanayen thahawuru wei.-police (2/2),කොහුවල භාතිය මාවතේ පදිංචි 33 හැවිරිදි ව්‍යාපාරිකයෝ ගේ බව DNA පරීක්ෂණයෙන් තහවුරු වෙයි පොලිස්
News 1st,3/15/2021 10:31,Received,"Kohuwaladi mortor rathayak thula thibi soyagath pilissie giya mala sirura, (1/2)",කොහුවල දී මෝටර් රථයක් තුළ තිබූ සොයාගත්  පිළිස්සී ගිය මළ සිරුර
Ada Derana,3/18/2021 7:56,Received,"Abaditha sebalekta paharadun Bandaragama pradeshiya saba manthriwarayek, tharjanaya kala siddiyakata Biyagama pradeshiya saba manthriwarayek athadanguwata",ආබාධිත සෙබළාට පහරදුන් බණ්ඩාරගම ප්‍රදේශයේ සභා මන්ත්‍රීවරයෙක් තර්ජනය කළ සිද්ධියට බියගම ප්‍රදේශයේ සභා මන්ත්‍රීවරයෙක් අත්අඩංගුවට
Ada Derana,3/17/2021 11:58,Received,(2/2)parlimenthuwe dee viwadayata ganeema sadaha parlimenthu karaka sabha rasweeme dee theeranaya karai,(2/2) පාර්ලිමේන්තුවේදී විවාදයට ගැනීම සඳහා පාර්ලිමේන්තු කාරක සභා රැස්වීමේදී තීරණය කරයි
Hiru News,3/18/2021 6:21,Received,Dumriya riyaduran saha niyamakawarun weda warjanayaka; dhawanaya wanne kaaryala dumriya kihipayak pamani,දුම්රිය රියදුරන් සහ නියාමකවරුන් වැඩ වැඩවර්ජනයක ධාවනය වන්නේ කාර්යාල දුම්රිය කිහිපයක් පමණයි
Ada Derana,3/17/2021 11:57,Received,Paasku irudina praharaya gena wimarshanaya kala janadhipathi komisame warthawa Marthu 25 ha 26(1/2),පාස්කු ඉරුදින ප්‍රහාරය ගැන විමර්ශනය කළ ජනාධිපති කොමිසමේ වාර්තාව මාර්තු 25  හා  26
News 1st,3/17/2021 20:47,Received,Thawath corona marana 03k wartha wei.marana sankyawa 537 dakwa ihalata.- Saukya sewa adyaksha genaral.,තවත් කොරෝනා මරණ 3ක් වාර්තා වෙයි වාර්තා වෙයි මරණ සංඛ්‍යාව 537 දක්වා ඉහලට සෞඛ්‍ය සේවා අධ්‍යක්ෂ ජනරාල්
Ada Derana,3/17/2021 10:22,Received,Bedumkara wanchawata adalawa 2016 Marthu 29 ha 31 sidu wu bedumkara wendesiya pilibanda neethipathi vishesha mahadhikaranaye adhi chodana gonu karai,බැඳුම්කර වංචාවට අදාලව 2016 මාර්තු 29 හා 31 සිදු වූ බැඳුම්කර වෙන්දේසිය පිළිබඳ නීතිපති විශේෂ මහාධිකරණයේ අධිචෝදනා ගොනු කරයි
Ada Derana,3/17/2021 20:23,Received,Ada Covid-19 asaditha marana 03 k wartha weemath samaga merata samastha marana ganana 537 dakwa ihalata - Saukya amathyanshaya,අද covid 19 ආසාදිත මරණ 3ක් වාර්තා වාර්තා වීමත් සමග වාර්තාවීමත් සමඟ මෙරට සමස්ත මරණ ගණන 537 දක්වා ඉහළට සෞඛ්‍ය අමාත්‍යාංශය
News 1st,3/15/2021 18:53,Received,Thawath corona asadithain 178k handuna gene.- Rajaye prauththi departhamenthuwa,තවත් කොරෝනා ආසාදිතයින් 178ක් හඳුනාගැනී රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව
News 1st,3/15/2021 18:52,Received,"Wathu kamkaru dainika wetupa rupiyal 1,000k bawata path karamin nikuth kala gazzte niwedanaya balarahitha karana lesa illa..(1/2)",වතු කම්කරු දෛනික වැටුප රුපියල්  1000ක් බවට පත් කරමින් නිකුත් කළ ගැසට් නිවේදනය බලරහිත කරන ලෙස ඉල්ලා
