singlish_content,transliterated_L1,man_written
(2/2)kamkaru departhamenthuwa danwai.durakathana anka 0112368502 ho email: irlabur456'gmail.com,( 2 / 2 ) කම්කරු දෙපර්තමෙන්තුව දන්වඉ . දුරකතන අන්ක 0112368502 හෝ‍ එමඉල් : ඉර්ලබුර්456 ' ග්මඉල් . කෝම්,(2/2)කම්කරු දෙපාර්තමේන්තුව දන්වයි .දුරකථන අංකය 0112368502 හෝ email: irlabur456'gmail.com
covid-19 nisa rekiya ahimi wu paudgalika anshaye rekiyawala niyuktha vuwanta e gena denumdena lesa(1/2),covid - 19 නිසා රෙකිය අහිමි වු පෞද්ගලික අන්ශයෙ රෙකියවල නියුක්ත වුවන්ට e ගෙන දෙනුම්දෙන ලෙස ( 1 / 2 ),Covid 19 නිසා රැකියා අහිමි වූ පුද්ගලික අංශයේ රැකියා වල නියුතු වූවන්ට ඒ ගැන දැනුම් දෙන ලෙස
"dubai-hidi miya-giya sanvidanathmaka aparada kalli nayakayeku wana dinuka madushan hewath ""keselwatte dinuka""-ge dehaya diwainata ragena-ei.: police","දුබඉ - හිදි මිය - ගිය සන්විදනත්මක අපරද කල්ලි නයකයෙකු වන දිනුක මදුශන් හෙවත් "" කෙසෙල්වට්ටෙ දිනුක ""- ගෙ දෙහය දිවඉනට රගෙන - එඉ .: police",ඩුබායිහි දී මියගිය සංවිධානාත්මක අපරාධ කල්ලි නායකයකු වන දිනුක මධුෂාන් හෙවත්  කෙසෙල්වත්තේ දිනුක ගේ දේහය දිවයිනට රැගෙන එයි පොලිස්
"prawahana emathi samaga sakachchawen pasu dumriya engine riyaduran, niyamakain ethulu sewaka pirisage saketha weda warjanaya awasan kere-dumriya samanyadikari","ප්‍රවහන එමති සමග සකච්චවෙන් පසු දුම්‍රිය engine රියදුරන් , නියමකඉන් එතුලු සෙවක පිරිසගෙ සකෙත වෙද වර්ජනය අවසන් කෙරෙ - දුම්‍රිය සමන්යදිකරි",ප්‍රවාහන ඇමති සමග  සාකච්ඡාවෙන් පසු දුම්රිය එන්ජින් රියදුරන් නියාමකයින් ඇතුළු සේවක පිරිසගේ සංකේත වැඩ වර්ජනය අවසන් කෙරේ දුම්රිය අමාත්‍යාංශය
update: locomotive engine riyaduran ha niyamakawarun aramba kala wedawarjanaya awasan karai - dumriya vurtheeya samithi,update : ලෝකෝමෝටිවෙ engine රියදුරන් හා නියමකවරුන් අරම්බ කල වෙදවර්ජනය අවසන් කරඉ - දුම්‍රිය වුර්තීය සමිති,Update : Locomotive engine රියදුරන් හා නියාමකවරුන් ආරම්භ කළ වැඩ වර්ජනය අවසන් කරයි දුම්රිය වෘතීය සමිති
"prawaahana amathyawaraya samaga pewathi sakachchawen anathuruwa, weda warjanaya athhituveemata dumriya wruththiya samithi theeranaya karai","ප්‍රවාහන අමත්යවරය සමග පෙවති සකච්චවෙන් අනතුරුව , වෙද වර්ජනය අත්හිටුවීමට දුම්‍රිය වෘත්තිය සමිති තීරනය කරඉ",ප්‍රවාහන අමාත්‍යාංශය සමඟ සමඟ පැවැති සාකච්ඡාවෙන් අනතුරුව වැඩ වැඩවර්ජනය අත්හිටුවීමට දුම්රිය වෘත්තිය සමිති තීරණය කරයි
"(2/2) sekakaruwan 02k athadanguwata, thawath ayeku palayai.: police","( 2 / 2 ) සෙකකරුවන් 02ක් අතදන්ගුවට , තවත් අයෙකු පලයඉ .: police",(2/2)සැකකරුවන් 02ක් අත්අඩංගුවට තවත් අයෙකු පලායයි police
"rs.koti 05k pamana watina kerala-ganja parsal 200k anuradhapura, isurupura pradeshaye niwadu nikethanayaka thibe soya gene; (1/2)","ර්ස් . කෝටි 05ක් පමණ වටින කෙරල - ගන්ජ පර්සල් 200ක් අනුරද්හපුර , ඉසුරුපුර ප්‍රදෙශයෙ නිවදු නිකෙතනයක තිබෙ සෝය ගෙනෙ ; ( 1 / 2 )",Rs කෝටි 05ක් පමණ වටිනා කේරළ ගංජා පාර්සල් 200ක් අනුරාධපුර isurupura ප්රදේශයේ නිවාඩු නිකේතනයක තිබී සොයා ගැනේ
"abaditha sebalekta paharadun bandaragama pradeshiya saba manthriwarayek, tharjanaya kala siddiyakata biyagama pradeshiya saba manthriwarayek athadanguwata","අබදිත සෙබලෙක්ට පහරදුන් බන්දරගම ප්‍රදෙශිය සබ මන්ත්‍රිවරයෙක් , තර්ජනය කල සිද්දියකට බියගම ප්‍රදෙශිය සබ මන්ත්‍රිවරයෙක් අතදන්ගුවට",ආබාධිත සෙබළාට පහරදුන් බණ්ඩාරගම ප්‍රදේශයේ සභා මන්ත්‍රීවරයෙක් තර්ජනය කළ සිද්ධියට බියගම ප්‍රදේශයේ සභා මන්ත්‍රීවරයෙක් අත්අඩංගුවට
locomotive engine riyaduran ha dumriya niyamakawarunge peya 24 sanketha weda warjanaya nisa seemitha dumriya gaman waara gananak ada kriyathmaka wei,ලෝකෝමෝටිවෙ engine රියදුරන් හා දුම්‍රිය නියමකවරුන්ගෙ පෙය 24 සන්කෙත වෙද වර්ජනය නිසා සීමිත දුම්‍රිය ගමන් වාර ගනනක් අද ක්‍රියත්මක වෙඉ,Locomotive engine රියදුරන් හා දුම්රිය නියාමකවරුන්ගේ පැය24 සංකේතවත් වැඩ වර්ජනය නිසා සීමිත දුම්රිය ගමන් වාර ගණනක් අද ක්‍රියාත්මක වෙයි
dumriya riyaduran saha niyamakawarun weda warjanayaka; dhawanaya wanne kaaryala dumriya kihipayak pamani,දුම්‍රිය රියදුරන් සහ නියමකවරුන් වෙද වර්ජනයක ; ද්හවනය වන්නෙ කාර්යල දුම්‍රිය කිහිපයක් පමනි,දුම්රිය රියදුරන් සහ නියාමකවරුන් වැඩ වැඩවර්ජනයක ධාවනය වන්නේ කාර්යාල දුම්රිය කිහිපයක් පමණයි
"update: swarnamahal jewellers hi hitapu adyakshawarun wana jeewaka, anjalee, asanka ha nalaka edirisinghe marthu 30 dakwa remand- adaderana.lk","update : ස්වර්නමහල් ජෙවෙල්ලෙර්ස් හි හිටපු අද්යක්ශවරුන් වන ජීවක , අන්ජලී , අසන්ක හා නලක එදිරිසින්ග්හෙ මර්තු 30 දක්වා රෙමන්ද් - අදදෙරන . ල්ක්",Update : ස්වර්නමහල් ජුවලර්ස් හි හිටපු අධ්‍යක්ෂකවරුන් වන ජීවක අන්ජලී අසංක හා නාලක එදිරිසිංහ මාර්තු 30 දක්වා රිමාන්ඩ් adaderana.lk
thawath corona marana 03k wartha wei.marana sankyawa 537 dakwa ihalata.- saukya sewa adyaksha genaral.,තවත් කෝරෝන මරන 03ක් වර්ත වෙඉ . මරන සන්ක්යව 537 දක්වා ඉහලට .- සෞක්ය සෙව අද්යක්ශ ගෙනරල් .,තවත් කොරෝනා මරණ 3ක් වාර්තා වෙයි වාර්තා වෙයි මරණ සංඛ්‍යාව 537 දක්වා ඉහලට සෞඛ්‍ය සේවා අධ්‍යක්ෂ ජනරාල්
"update: athadanguwata gath swarnamahal jewellers hitapu adyakshawarun wana jeewaka, deepa, asanka saha nalaka edirisinghe 03/30 dakwa remand.: reporter","update : අතදන්ගුවට ගත් ස්වර්නමහල් ජෙවෙල්ලෙර්ස් හිටපු අද්යක්ශවරුන් වන ජීවක , දීප , අසන්ක සහ නලක එදිරිසින්ග්හෙ 03 / 30 දක්වා රෙමන්ද් .: රෙපෝර්ටෙර්","Update : අත්අඩංගුවට ගත් ස්වර්ණමහල් ජුවලර්ස් හි හිටපු අධ්‍යක්ෂ වරුන් වන ජීවක, ද්ඊපා, අසංක සහ නාලක ඉදිරිසිංහ 03/30දක්වා remand . Reporter"
ada covid-19 asaditha marana 03 k wartha weemath samaga merata samastha marana ganana 537 dakwa ihalata - saukya amathyanshaya,අද covid - 19 අසදිත මරන 03 ක් වර්ත වීමත් සමග මෙරට සමස්ත මරන ගනන 537 දක්වා ඉහලට - සෞක්ය අමත්යන්ශය,අද covid 19 ආසාදිත මරණ 3ක් වාර්තා වාර්තා වීමත් සමග වාර්තාවීමත් සමඟ මෙරට සමස්ත මරණ ගණන 537 දක්වා ඉහළට සෞඛ්‍ය අමාත්‍යාංශය
thawath covid-19 marana 03k wartha-wei; samastha marana 537 dakwa ihalata.: information department,තවත් covid - 19 මරන 03ක් වර්ත - වෙඉ ; සමස්ත මරන 537 දක්වා ඉහලට .: information department,තවත් covid 19 මරණ 3ක් වාර්තා වෙයි වාර්තා වෙයි සමස්ත මරණ 537 දක්වා ඉහලට information department
update: thawath covid-19 asadithayin 140 deneku haduna ganne.ada wartha wu asadithayin ganana 322 dakwa ihalata - yuda hamudapathi,update : තවත් covid - 19 අසදිතයින් 140 දෙනෙකු හදුන ගන්නෙ . අද වර්ත වු අසදිතයින් ගනන 322 දක්වා ඉහලට - යුද හමුදපති,Update : තවත් covid 19 ආසාදිතයින් 140 දෙනකු හඳුනා ගැනේ අද වාර්තා වූ ආසාදිතයින් ගණන 322 දක්වා ඉහළට යුද හමුදා පති
"update - 03/23 dakwa remand kala hitapu emathi ravi karunanayake athulu 08-dena, welikada bandanagaraye nirodayana madyasthanaya wetha yomu kere","update - 03 / 23 දක්වා රෙමන්ද් කල හිටපු එමති රවි කරුනනයකෙ ඇතුළු 08 - දෙන , වෙලිකද බන්දනගරයෙ නිරෝදයන මද්යස්තනය වෙත යෝමු කෙරෙ",update : 03/23 දක්වා රිමාන්ඩ් කළ හිටපු ඇමති ඇමැති රවි කරුණානායක ඇතුළු 8 දෙනා වැලිකඩ බන්ධනාගාරයේ නිරෝධායන මධ්‍යස්ථානය වෙත යොමු කෙරේ
update: marthu 23 dakwa remand kala hitapu amathya ravi karunanayake ethulu 8 dena welikada bandanagaraye nirodayana madysthanayata,update : මර්තු 23 දක්වා රෙමන්ද් කල හිටපු අමත්ය රවි කරුනනයකෙ එතුලු 8 දෙන වෙලිකද බන්දනගරයෙ නිරෝදයන මද්ය්ස්තනයට,Update : මාර්තු 23 දක්වා remand  කළ හිටපු අමාත්‍ය රවී කරුණානායක ඇතුළු 8 දෙනා වැලිකඩ බන්ධනාගාරයෙන් නිරෝධායන මධ්‍යස්ථානයකට
