singlish_news,transliterated_l1,transliterated_l2,man_written
bangladeshaye dedina raajya sancharayaka niratha wu agramathya mahinda rajapaksa yali diwayinata,බඟ්ලඩෙශයෙ ඩෙඩින රාජ්ය සන්චරයක නිරත වු අග්‍රාමාත්‍ය මහින්ද රජපක්ස යලි ඩිවයිනට,බඟ්ලඩෙශයෙ දෙදින රාජ්ය සන්චරයක නිරත වු අග්‍රාමාත්‍ය මහින්ද රාජපක්ෂ යලි දිවයිනට,බංග්ලාදේශයේ දෙදින රාජ්‍ය රාජ්‍ය සංචාරයක නිරත වූ අග්‍රාමාත්‍ය මහින්ද රාජපක්ෂ යළි දිවයිනට
covid-19 asaditha maranayak wartha weemath samaga merata samastha marana ganana 545 dakwa ihalata - saukya amathyanshaya,covid - 19 අසඩිත මරනයක් වාර්තා වීමත් සමග මෙරට සමස්ත මරන ගනන 545 දක්වා ඉහලට - සෞඛ්‍ය අමාත්‍යාංශය,covid - 19 අසිත රථයක් වාර්තා වීමත් සමග මෙරට සමස්ත මරණ ගණන 545 දක්වා ඉහලට - සෞඛ්‍ය අමාත්‍යාංශය,covid-19 ආසාධිත මරණයක් වාර්තා වීමත් සමග මෙරට සමස්ත මරණ ගණන 545 දක්වා ඉහලට- සෞඛ්‍ය අමාත්‍යාංශය
thawath corona maranayak wartha wei. marana sankiyawa 545k dakwa ihalata. - sawkya sewa adyaksha genaral,තවත් කොරෝනා මරනයක් වාර්තා වෙඉ . මරන සන්කියව 545ක් දක්වා ඉහලට . - සව්ක්ය සෙව අධ්‍යක්ෂ ගෙනරල්,තවත් කොරෝනා දිනයක් වාර්තා වෙයි . මරණ සන්කියව 545ක් දක්වා ඉහලට . - සව්ක්ය සෙව අධ්‍යක්ෂ ගෙනරල්,තවත් කොරෝනා මරණයක් වාර්තා වෙයි. මරණ සංඛ්‍යාව 545 ක් දක්වා ඉහළට පන්සිය හතළිස් පහක් දක්වා ඉහලට- සෞඛ්‍ය සේවා අධ්‍යක්ෂ ජනරාල්
thawath covid-19 marana 01k wartha-wei; samastha marana 545 dakwa ihalata.: information department,තවත් covid - 19 මරන 01ක් වාර්තා - වෙඉ ; සමස්ත මරන 545 දක්වා ඉහලට .: information department,තවත් covid - 19 මරණ 01ක් වාර්තා - වෙයි ; සමස්ත මරණ 545 දක්වා ඉහලට . : information department,තවත් covid-19 මරණයක් වාර්තා වෙයි.; සමස්ත මරණ punci 45 දක්වා ඉහලට- information  department
thawath corona asadithin 158 k haduna gene. - rajye prawurthi departhamenthuwa,තවත් කොරෝනා අසඩිතින් 158 ක් හඳුනා ගෙනෙ . - රජ්යෙ ප්‍රවුර්ති දෙපාර්තමේන්තුව,තවත් කොරෝනා අසඩිතින් 158 ක් හඳුනා ගෙනෙ . - රජ්යෙ ප්‍රවුර්ති දෙපාර්තමේන්තුව,තවත් කොවිඩ් ආසාධිතයින් 158ක් හඳුනාගැනේ- රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව
"heta 09am sita peya 15k colamba 01,03,09,14 saha kaduwela-ta jala sepayuma athhituwai; colamba 02,07,08 saha 10-ta adu-peedanayak yatathe: nwsdb","හෙට 09අම් සිට පෙය 15ක් කොලඹ 01 , 03 , 09 , 14 සහ කඩුවෙල - ට ජල සෙපයුම අත්හිටුවඉ ; කොලඹ 02 , 07 , 08 සහ 10 - ට අඩු - පීඩනයක් යටතෙ : න්ව්ස්ඩ්බ්","හෙට 09අම් සිට පෙය 15ක් කොළඹ 01 , 03 , 09 , 14 සහ කඩුවෙල - ට ජල සැපයුම අත්හිටුවන ; කොළඹ 02 , 07 , 08 සහ 10 - ට අඩු - පීඩනයක් යටතේ : NWSDB","හෙට උදේ 09 සිට පැය 15ක් කොළඹවක් කොළඹ 1, 3 ,9, 14 සහ කඩුවෙලට ජල සැපයුම අත්හිටුවයි .කොළඹ 2 ,7 8 සහ දහයට 10 ට අඩු පීඩනයක් යටතේ -NWSDB"
thawath covid-19 asadithayin 158k wartha wei - army commander,තවත් covid - 19 අසඩිතයින් 158ක් වාර්තා වෙඉ - army commander,තවත් covid - 19 ආසාධිතයින් 158ක් වාර්තා වෙයි - army commander,තවත් covid 19 ආසාධිතයින් 158 ක් වාර්තා වෙයි- army commander
covid-19 asadithayin 158 deneku haduna ganne-yuda hamudapathi,covid - 19 අසඩිතයින් 158 ඩෙනෙකු හඳුනා ගන්නෙ - යුඩ හමුඩපති,covid - 19 ආසාධිතයින් 158 දෙනෙකු හඳුනා ගන්නේ - යුද හමුදාපති,covid-19 ආසාධිතයින් 158 දෙනකු හඳුනා ගැනේ- යුද හමුදාපති
dina dekakata pera corona mardana ennatha laba gath pakistana agramathyawaraya corona asadithayeku bawa haduna gene. - wides madhya,ඩින ඩෙකකට පෙර කොරෝනා මර්ඩන එන්නත ලබ ගත් පකිස්ටන අග්‍රාමාත්‍යවරය කොරෝනා අසඩිතයෙකු බව හඳුනා ගෙනෙ . - විඩෙස් මඩ්හ්ය,දින දෙකකට පෙර කොරෝනා මර්දන එන්නත ලබ ගත් පකිස්ථාන අග්‍රාමාත්‍යවරය කොරෝනා අසඩිතයෙකු බව හඳුනා ගෙනෙ . - විදෙස් මඩ්හ්ය,දින දෙකකට පෙර කොරෝනා මර්ධන එන්නත් ලබාගත් පාකිස්තාන අග්‍රාමාත්‍යවරයා කොරෝනා ආසාධිත යෙකු බව හඳුනා ගැනේ- විදෙස් මාධ්‍ය
pakistan agamathi imran khan-ta covid-19 asaditha bawata thahawuru-wei.: foreign media,පකිස්ටන් අගමති ඉම්‍රන් ක්හන් - ට covid - 19 අසඩිත බවට තහවුරු - වෙඉ .: foreign media,පිස්සන් අගමැති ඉම්රාන් ක්හන් - ට covid - 19 අසිත බවට තහවුරු - වෙයි . : foreign media,පාකිස්තාන අගමැති ඉම්රාන් ඛාන්-ට COVI- 19 ආසාධිත බවට තහවුරු වෙයි- foreign media
japanaye uthurudiga pradeshaye magnitude ekaka 7.2 ka bhu-chalanayak. miagi pradeshayata tsunami anathuru engaweeme niwedana-vides madya,ජපනයෙ උතුරුඩිග ප්‍රඩෙශයෙ මඥිටුඩෙ එකක 7 . 2 ක බ්හු - චලනයක් . මිඅගි ප්‍රඩෙශයට ට්සුනමි අනතුරු එඟවීමෙ නිවෙඩන - විඩෙස් මඩ්ය,ජපනයෙ උතුරුදිග ප්‍රදේශයේ මඥිටුඩෙ එකක 7 . 2 ක බ්හු - චලනයක් . මිඅගි ප්‍රදේශයට ට්සුනමි අනතුරු ඇඟවීමේ නිවේදන - විදෙස් මඩ්ය,ජපානයේ උත්තර දිග ප්‍රදේශයේ මැග්නටියුඩ් එකක 7.2 ක භූ චලනයක්. මියාගි ප්‍රදේශයට සුනාමි අනතුරු ඇඟවීමේ නිවේදන-විදෙස් මාධ්‍ය 
pakisthana agramathya imran khan hata covid-19 asadanaya wei - vides maadya,පකිස්තන අග්‍රාමාත්‍ය ඉම්‍රන් ක්හන් හට covid - 19 අසඩනය වෙඉ - විඩෙස් මාඩ්ය,පාකිස්තාන අග්‍රාමාත්‍ය ඉම්රාන් ක්හන් හට covid - 19 අසාදනය වෙයි - විදෙස් මාඩ්ය,පාකිස්ථාන අග්‍රාමාත්‍ය ඉම්රාන් ඛාන් හට covid- 19 ආසාදනය වෙයි -විදෙස් මාධ්‍
ada sita diwaina pura masayaka kalayak ratha wahana meheyum kriyathmaka kirimata piyawara. - police,අඩ සිට ඩිවඉන පුර මසයක කලයක් රත වහන මෙහෙයුම් ක්‍රියත්මක කිරිමට පියවර . - police,අද සිට දිවයින පුර මාසයක කාලයක් රථ වහන මෙහෙයුම් ක්‍රියත්මක කිරිමට පියවර . - police,අද සිට දිවයින පුරා මාසයක කාලයක් රත වාහන මෙහෙයුම් ක්‍රියාත්මක කිරීමට පියවර -Police
"thawath covid-19 asadithayin 239k suwaya laba pitawa yai; suwaya labu mulu sankyawa 86,466.: epid","තවත් covid - 19 අසඩිතයින් 239ක් සුවය ලබ පිටව යඉ ; සුවය ලබු මුලු සන්ක්යව 86 , 466 .: EPID","තවත් covid - 19 ආසාධිතයින් 239ක් සුවය ලබ පිටව යයි ; සුවය ලබු මුලු සන්ක්යව 86,466 . : EPID","තවත් කොවිඩ් 19 ආසාධිතයින් 239ක් සුවය ලබා පිටව යයි .සුවය ලැබූ මුළු සංඛ්‍යාව 86,466 -EPID"
beemathwa saha apariksha-kareewa riya padawana pudgalayin soya ada sita diwaina pura wishesha meheyum.: police spokesman,බීමත්ව සහ අපරික්ශ - කරීව රිය පඩවන පුඩ්ගලයින් සොය අඩ සිට ඩිවඉන පුර විශේෂ මෙහෙයුම් .: police spokesman,බීමත්ව සහ අපරික්ශ - කරීව රිය පනවන පුද්ගලයින් සොය අද සිට දිවයින පුර විශේෂ මෙහෙයුම් . : police spokesman,බීමත්ව හා අපරීක්ෂාකාරීව රිය පදවන පුද්ගලයන් සොයා අද සිට දිවයින පුරා විශේෂ මෙහෙයුම් - Police spokesman
bangladesha-srilanka rajya thanthrika sanadathwalata wasara 50k sepirima labana wasare,බඟ්ලඩෙශ - ස්‍රිලන්ක රජ්ය තන්ත්‍රික සනඩත්වලට වසර 50ක් සෙපිරිම ලබන වසරෙ,බඟ්ලඩෙශ - ස්‍රිලන්ක රජ්ය තන්ත්‍රික පනත්වලට වසර 50ක් සුපිරිම ලබන වසරේ,බංග්ලාදේශ ශ්‍රී ලංකා රාජ්‍ය තාන්ත්‍රික සම්බන්ධතා වලට වසර 50 ක් සපිරීම ලබන වසරේ
