singlish_news,transliterated_l1,transliterated_l2,man_written
mannarama hitapu randaguru rayappu joseph piyathuma (80) yapanaye paudgalika rohalaka prathikara labamin sitiya dee swargastha wei,මන්නරම හිටපු රඳගුරු රයප්පු ජොසෙප්හ් පියතුම ( 80 ) යපනයෙ පෞඩ්ගලික රොහලක ප්‍රතිකර ලබමින් සිටිය දී ස්වර්ගස්ත වෙඉ,මන්නාරම් හිටපු රදගුරු රයප්පු ජොසෙප්හ් පියතුම ( 80 ) යපනයෙ පෞද්ගලික රෝහලක ප්‍රතිකර ලබමින් සිටිය දී ස්වර්ගස්ත වෙයි,මන්නාරම් හිටපු රදගුරු රායප්පු ජෝෂප් ජෝශප් පියතුමා යාපනයේ පුද්ගලික රෝහලක ප්‍රතිකාර ලබමින් සිටියදී ස්වර්ග්ස්ත වෙයි
samaaja maadya osse saharan hashim ge mathawada ha anthawada pracharanaye niratha wu siwu denek tid athadanguwata,සමාජ මාධ්‍ය ඔස්සෙ සහරන් හශිම් ගෙ මතවඩ හා අන්තවඩ ප්‍රචරනයෙ නිරත වු සිවු ඩෙනෙක් tid අත්අඩංගුවට,සමාජ මාධ්‍ය ඔස්සේ සහරාන් හෂීම් ගේ මතවඩ හා අන්තයේ ප්‍රචරනයෙ නිරත වු සිවු දෙනෙක් tid අත්අඩංගුවට,සමාජ මාධ්‍ය ඔස්සේ සහරාන් හසීම් ගිය මත වාද හා අන්තවාද ප්‍රචාරණයේ නිරත වූ සිව් දෙනෙක් TID අත්අඩංගුවට
mannarama hitapu radaguru athiuthum rayappu  joseph himipanan (81)  swargastha wei.,මන්නරම හිටපු රඩගුරු අතිඋතුම් රයප්පු ජොසෙප්හ් හිමිපනන් ( 81 ) ස්වර්ගස්ත වෙඉ .,මන්නාරම් හිටපු රදගුරු අතිඋතුම් රයප්පු ජොසෙප්හ් හිමියන් ( 81 ) ස්වර්ගස්ත වෙයි .,මන්නාරම් හිටපු රදගුරු අති උතුම් අතිඋතුම් රා උතුම් රායප්පු ජෝශප් පියතුමන් (81)ස්වර්ගස්ථ  වෙයි
mannarama hitapu radaguru rayappu joseph piyathuman(80) swargastha wei: mannar bishop's house,මන්නරම හිටපු රඩගුරු රයප්පු ජොසෙප්හ් පියතුමන් ( 80 ) ස්වර්ගස්ත වෙඉ : මන්නර් බිශොප් ' ස් හොඋසෙ,මන්නාරම් හිටපු රදගුරු රයප්පු ජොසෙප්හ් පියතුමන් ( 80 ) ස්වර්ගස්ත වෙයි : Mannar Bishop House,මන්නාරම් හිටපු රදගුරු රායප්පු ජෝෂප් ජෝශප් පියතුමා ජෝෂප් පියතුමන් ස්වර්ගස්ථ වෙයි :Mannar Bishop House
zaharange anthawadi mathawada antharjalaya osse vikashaya kireema ha anthawadi deshana sadaha sahaya wime chodana matha 04k tid athadanguwata.,zඅහරඟෙ අන්තවඩි මතවඩ අන්තර්ජලය ඔස්සෙ විකශය කිරීම හා අන්තවඩි ඩෙශන සඩහ සහය විමෙ චොඩන මත 04ක් tid අත්අඩංගුවට .,zඅහරඟෙ අන්තෝනි මතවඩ අන්තර්ජාලය ඔස්සේ විකාශය කිරීම හා අන්තෝනි දේශන සඩහ සහය වීමේ චොඩන මත 04ක් tid අත්අඩංගුවට .,සහරාන්ගේ අන්තවාදී මත වාද අන්තර්ජාලය ඔස්සේ විකාශය කිරීම හා අන්තවාදී දේශන සඳහා සහාය වීමේ චෝදනා මත 04ක් TID අත්අඩංගුවට
zaharan hashim-ge anthawadi mathawada antharjalaya osse pracharaya kala 02-denek athulu 04-denek tid athadanguwata.: police spokesman,zඅහරන් හශිම් - ගෙ අන්තවඩි මතවඩ අන්තර්ජලය ඔස්සෙ ප්‍රචරය කල 02 - ඩෙනෙක් ඇතුළු 04 - ඩෙනෙක් tid අත්අඩංගුවට .: police spokesmen,අරන් හෂීම් - ගේ අන්තෝනි මතවඩ අන්තර්ජාලය ඔස්සේ ප්‍රචරය කල 02 - දෙනෙක් ඇතුළු 04 - දෙනෙක් tid අත්අඩංගුවට . : police spokesmen,සහරාන් හසීම්ගේ අන්තවාදී මත වාද අන්තර්ජාලය ඔස්සේ ප්‍රකාශය කළ 02-දෙනෙක් ඇතුළු ඇතුළු 04-දෙනෙක් TID අත්අඩංගුවට : police spokesmen
covid-19 asaditha marana 02 k wartha weemath samaga merata samastha marana 568 dakwa ihalata - saukya amathyanshaya,covid - 19 අසඩිත මරන 02 ක් වාර්තා වීමත් සමග මෙරට සමස්ත මරන 568 දක්වා ඉහලට - සෞඛ්‍ය අමත්යන්ශය,covid - 19 අසිත මරණ 02 ක් වාර්තා වීමත් සමග මෙරට සමස්ත මරණ 568 දක්වා ඉහලට - සෞඛ්‍ය අමත්යන්ශය,covid 19 ආසාදිත මරණ 02ක් වාර්තා වීමත් සමග මෙරට සමස්ත මරණ 568 දක්වා ඉහළට සෞඛ්‍ය අමාත්‍යාංශය
thawath covid-19 marana 02k wartha-wei; merata samastha marana 568 dakwa ihalata.: epid,තවත් covid - 19 මරන 02ක් වාර්තා - වෙඉ ; මෙරට සමස්ත මරන 568 දක්වා ඉහලට .: එපිඩ්,තවත් covid - 19 මරණ 02ක් වාර්තා - වෙයි ; මෙරට සමස්ත මරණ 568 දක්වා ඉහලට . : එපිඩ්,තවත් covid 19 මරණ 02ක් වාර්තා-වෙයි; මෙරට සමස්ත මරණ 568 දක්වා ඉහළට : EPID
update: thawath covid-19 asadithayin 88 deneku haduna ganne.ada meratin wartha wu asadithayin ganana 244 dakwa ihalata - yuda hamudapathi,update : තවත් covid - 19 අසඩිතයින් 88 ඩෙනෙකු හඳුනා ගන්නෙ . අඩ මෙරටින් වාර්තා වු අසඩිතයින් ගනන 244 දක්වා ඉහලට - යුඩ හමුඩපති,update : තවත් covid - 19 ආසාදිතයින් 88 දෙනෙකු හඳුනා ගැනේ . අද මෙරටින් වාර්තා වු ආසාදිතයින් ගණන 244 දක්වා ඉහලට - යුද හමුදාපති,update:තවත් covid 19 ආසාදිතයින් 88 දෙනෙකු හඳුනා ගැනේ අද මෙරටින් වාර්තා වූ ආසාධිතයිදිතයින් ගණන 244 දක්වා ඉහලට - යුද හමුදාපති
update - thawath covid-19 asadithayin 88k wartha wei.: army commander,update - තවත් covid - 19 අසඩිතයින් 88ක් වාර්තා වෙඉ .: army commander,update - තවත් covid - 19 ආසාදිතයින් 88ක් වාර්තා වෙයි . : army commander,Update - තවත් COVID-19 ආසාදිතයින් 88ක් වාර්තා වෙයි.: - Army Commander
