singlish_news,transliterated_l1,transliterated_l2,man_written,google
"athadanguwata gath swarnamahal jewellers hi hitapu adyakshawarun wana jeewaka edirisinghe, anjalee edirisinghe asanka edirisinghe ha(1/2)","අතදන්ගුවට ගත් ස්වර්නමහල් ජෙවෙල්ලෙර්ස් හි හිටපු අද්යක්ශවරුන් වන ජීවක එදිරිසින්ග්හෙ , අන්ජලී එදිරිසින්ග්හෙ අසන්ක එදිරිසින්ග්හෙ හා ( 1 / 2 )","අතදන්ගුවට ගත් ස්වර්ණමහල් ජෙවෙල්ලෙර්ස් හි හිටපු අද්යක්ශවරුන් වන ජීවක එදිරිසින්ග්හෙ , අන්ජලී එදිරිසින්ග්හෙ අසන්ක එදිරිසින්ග්හෙ හා",අත්අඩංගුවට ගත් ස්වර්ණමහල් ජුවලර්ස් යි හිටපු අධ්‍යක්ෂකවරුන් වන ජීවක එදිරිසිංහ අන්ජලී එදිරිසිංහ අසංක එදිරිසිංහ හා,අත්අඩංගුවට ගත ස්වර්ණමහල් ජෙවෙල්ලෙර්ස් හි හිටපු අද්යක්ෂවරුන් වන ජීවක එදිරිසින්ග්හේ ඇන්ජලී එදිරිසින්ග්හේ අසංක එදිරිසින්ග්හේ හා
..kohuwala bhathiya mawathe padinchi 33 hewiridi wyaparikayage bawa dna parikshanayen thahawuru wei.-police (2/2),.. කෝහුවල බ්හතිය මවතෙ පදින්චි 33 හෙවිරිදි ව්යපරිකයගෙ බව ද්න පරික්ශනයෙන් තහවුරු වෙයි .- police ( 2 / 2 ),කෝහුවල බ්හතිය මවතෙ පදින්චි 33 හෙවිරිදි ව්යපරිකයගෙ බව ද්න පරික්ශනයෙන් තහවුරු වෙයි .- police,කොහුවල භාතිය මාවතේ පදිංචි 33 හැවිරිදි ව්‍යාපාරිකයෝ ගේ බව DNA පරීක්ෂණයෙන් තහවුරු වෙයි පොලිස්,කොහුවල භාතිය මාවතේ පදිංචි 33 හෙවිරිදි ව්‍යාපාරිකයාගේ බව දන පරීක්ෂණයෙන් තහවුරු වෙඉ.-පොලිචේ
2016 marthu 29 ha 31 bendumkara wendesi waladi sidu-wu wancha gena neethipathi wisin colamba thri-pudgala mahadikaranaya hamuwe adhi-chodana gonu karai,2016 මර්තු 29 හා 31 බෙන්දුම්කර වෙන්දෙසි වලදි සිදු - වු වන්ච ගෙන නීතිපති විසින් කෝලම්බ ත්‍රි - පුද්ගල මහදිකරනය හමුවෙ අද්හි - චෝදන ගෝනු කරයි,2016 මර්තු 29 හා 31 බෙන්දුම්කර වෙන්දෙසි වලදි සිදු - වු වන්ච ගෙන නීතිපති විසින් කෝලම්බ ත්‍රි - පුද්ගල මහදිකරනය හමුවෙ අද්හි - චෝදන ගෝනු කරයි,2016 මාර්තු 29 හා 31 31 බැඳුම්කර වෙන්දේසි වල දී සිදු වූ වංචා ගැන නීතිපති විසින් කොළඹ ත්‍රි - පුද්ගල මහාධිකරණය හමුවේ  අධිචෝදනා ගොනු කරයි,2016 මාර්තු 29 හා 31 බෙන්දුම්කර වෙන්දේසි වලදී සිදු-වූ වංචා ගෙන නීතිපති විසින් චොළඹ ත්‍රි-පුද්ගල මහදිකරණය හමුවේ අධි-චෝදනා ගොනු කරි
"prawahana emathi samaga sakachchawen pasu dumriya engine riyaduran, niyamakain ethulu sewaka pirisage saketha weda warjanaya awasan kere-dumriya samanyadikari","ප්‍රවහන එමති සමග සකච්චවෙන් පසු දුම්‍රිය engine රියදුරන් , නියමකඉන් එතුලු සෙවක පිරිසගෙ සකෙත වෙද වර්ජනය අවසන් කෙරෙ - දුම්‍රිය සමන්යදිකරි","ප්‍රවහන එමති සමග සකච්චවෙන් පසු දුම්‍රිය engine රියදුරන් , නියමකඉන් එතුලු සෙවක පිරිසගෙ සකෙත වෙද වර්ජනය අවසන් කෙරෙ - දුම්‍රිය සමන්යදිකරි",ප්‍රවාහන ඇමති සමග  සාකච්ඡාවෙන් පසු දුම්රිය engine රියදුරන් නියාමකයින් ඇතුළු සේවක පිරිසගේ සංකේත වැඩ වර්ජනය අවසන් කෙරේ - දුම්රිය අමාත්‍යාංශය,ප්‍රවාහන එමති සමග සාකච්චාවෙන් පසු දුම්රිය එන්ගිනේ රියදුරන් නියමකින් එතුලු සේවක පිරිසගේ සාකේත වේද වර්ජනය අවසන් කෙරේ-දුම්රිය සමන්යදිකාරී
thawath corona asadithain 154k handuna gene.-rajaye prauththi departhamenthuwa,තවත් කෝරෝන අසදිතඉන් 154ක් හන්දුන ගෙනෙ .- රජයෙ ප්‍රෞත්ති දෙපර්තමෙන්තුව,තවත් කෝරෝන අසදිතඉන් 154ක් හන්දුන ගෙනෙ .- රජයෙ ප්‍රෞත්ති දෙපර්තමෙන්තුව,තවත් කොරෝනා ආසාදිතයින් 154ක් හඳුනාගැනේ රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව,තවත් චොරෝන අසදිතෛන් 154ක් හඳුනා ගෙනේ.-රජයේ ප්‍රුත්ති දෙපාර්තමේන්තුව
"prawaahana amathyawaraya samaga pewathi sakachchawen anathuruwa, weda warjanaya athhituveemata dumriya wruththiya samithi theeranaya karai","ප්‍රවාහන අමත්යවරය සමග පෙවති සකච්චවෙන් අනතුරුව , වෙද වර්ජනය අත්හිටුවීමට දුම්‍රිය වෘත්තිය සමිති තීරනය කරයි","ප්‍රවාහන අමාත්‍යවරයා සමග පෙවති සකච්චවෙන් අනතුරුව , වෙද වර්ජනය අත්හිටුවීමට දුම්‍රිය වෘත්තිය සමිති තීරනය කරයි",ප්‍රවාහන අමාත්‍යවරයා සමඟ සමඟ පැවැති සාකච්ඡාවෙන් අනතුරුව වැඩ වර්ජනය අත්හිටුවීමට දුම්රිය වෘත්තිය සමිති තීරණය කරයි,ප්‍රවාහන අමාත්‍යවරයා සමග පෙවති සාකච්චාවෙන් අනතුරුව වේද වර්ජනය අත්හිටුවීමට දුම්රිය වෘත්තීය සමිති තීරණය කරි
..kohuwala bhathiya mawathe padinchi 33 hewiridi wyaparikayage bawa dna parikshanayen thahawuru wei.-police (2/2),.. කෝහුවල බ්හතිය මවතෙ පදින්චි 33 හෙවිරිදි ව්යපරිකයගෙ බව ද්න පරික්ශනයෙන් තහවුරු වෙයි .- police ( 2 / 2 ),කෝහුවල බ්හතිය මවතෙ පදින්චි 33 හෙවිරිදි ව්යපරිකය ගෙ බව DNA පරික්ශනයෙන් තහවුරු වෙයි .- police,කොහුවල භාතිය මාවතේ පදිංචි 33 හැවිරිදි ව්‍යාපාරිකයෝ ගේ බව DNA පරීක්ෂණයෙන් තහවුරු වෙයි - police,කොහුවල භාතිය මාවතේ පදිංචි 33 හෙවිරිදි ව්‍යාපාරිකයාගේ බව දන පරීක්ෂණයෙන් තහවුරු වෙඉ.-පොලිචේ
"kohuwaladi mortor rathayak thula thibi soyagath pilissie giya mala sirura, (1/2)","කෝහුවලදි මෝර්ටෝර් රතයක් තුළ තිබි සෝයගත් පිලිස්සී ගිය මල සිරුර , ( 1 / 2 )",කෝහුවල දි මෝර්ටෝර් රතයක් තුළ තිබි සෝයගත් පිලිස්සී ගිය මල සිරුර,කොහුවල දී මෝටර් රථයක් තුළ තිබූ සොයාගත්  පිළිස්සී ගිය මළ සිරුර,කොහුවලදී මොර්ටෝර් රථයක් තුල තිබී සොයාගත් පිලිෂිඑ ගිය මල සිරුර
"abaditha sebalekta paharadun bandaragama pradeshiya saba manthriwarayek, tharjanaya kala siddiyakata biyagama pradeshiya saba manthriwarayek athadanguwata","අබදිත සෙබලෙක්ට පහරදුන් බන්දරගම ප්‍රදෙශිය සබ මන්ත්‍රිවරයෙක් , තර්ජනය කල සිද්දියකට බියගම ප්‍රදෙශිය සබ මන්ත්‍රිවරයෙක් අතදන්ගුවට",අබදිත සෙබලෙක්ට පහරදුන් බන්දරගම ප්‍රදෙශිය සබ මන්ත්‍රිවරයෙක් තර්ජනය කල සිද්දියකට බියගම ප්‍රදෙශිය සබ මන්ත්‍රිවරයෙක් අතදන්ගුවට,ආබාධිත සෙබළාට පහරදුන් බණ්ඩාරගම ප්‍රදේශයේ සභා මන්ත්‍රීවරයෙක් තර්ජනය කළ සිද්ධියට බියගම ප්‍රදේශයේ සභා මන්ත්‍රීවරයෙක් අත්අඩංගුවට,අබදිත සෙබලෙක්ට පහරදුන් බණ්ඩාරගම ප්‍රාදේශීය සබැ මන්ත්‍රීවරයෙක් තර්ජනය කල සිද්දියකට බියගම ප්‍රාදේශීය සබැ මන්ත්‍රීවරයෙක් අත්අඩංගුවට
(2/2)parlimenthuwe dee viwadayata ganeema sadaha parlimenthu karaka sabha rasweeme dee theeranaya karai,( 2 / 2 ) පර්ලිමෙන්තුවෙ දී විවදයට ගනීම සදහ පර්ලිමෙන්තු කරක සබ්හ රස්වීමෙ දී තීරනය කරයි,පර්ලිමෙන්තුවෙදී විවදයට ගනීම සදහ පර්ලිමෙන්තු කරක සබ්හ රස්වීමෙ දී තීරනය කරයි,පාර්ලිමේන්තුවේදී විවාදයට ගැනීම සඳහා පාර්ලිමේන්තු කාරක සභා රැස්වීමේදී තීරණය කරයි,(2/2)පාර්ලිමේන්තුවේ දී විවාදයට ගැනීම සදහා පාර්ලිමේන්තු කාරක සභා රැස්වීමේ දී තීරණය කරි
